# hot pixel x | hot pixel y
37 | 1346
56 | 1654
58 | 1331
75 | 1059
119 | 3074
120 | 1495
233 | 1573
264 | 2795
339 | 2951
423 | 2006
504 | 3574
538 | 2758
545 | 753
558 | 1441
646 | 1470
710 | 3488
736 | 2776
767 | 1096
820 | 155
961 | 347
967 | 1993
1027 | 3505
1159 | 1216
1217 | 2122
1251 | 112
1272 | 4170
1329 | 3520
1377 | 234
1395 | 535
1396 | 844
1405 | 13
1458 | 3247
1464 | 3494
1483 | 1805
1523 | 66
1555 | 2881
1620 | 1406
1675 | 755
1700 | 1555
1846 | 113
1899 | 1193
1936 | 218
1941 | 2965
1991 | 3570
2110 | 577
2130 | 1006
2183 | 1713
2284 | 2336
2302 | 1825
2304 | 4076
2306 | 3582
2381 | 1957
2424 | 3278
2457 | 2472
2477 | 1968
2479 | 2170
2519 | 2802
2521 | 2655
2679 | 2525
2730 | 3354
2751 | 3919
2755 | 58
2767 | 2508
2802 | 3932
2820 | 2830
2838 | 2412
2839 | 1105
2861 | 1694
2951 | 1649
3009 | 3477
3045 | 2050
3071 | 901
3089 | 2810
3135 | 3458
3141 | 635
3167 | 2860
3230 | 34
3253 | 2515
3322 | 2931
3357 | 2457
3380 | 449
3512 | 755
3521 | 3118
3584 | 3209
3615 | 547
3706 | 2682
3763 | 3049
3779 | 223
3792 | 2682
3832 | 1006
3859 | 661
3915 | 1600
3991 | 438
3996 | 2492
4030 | 3098
4174 | 3774
4315 | 3762
4328 | 2963
4374 | 3894
4427 | 1192
4500 | 3933
4561 | 316
4598 | 1139
4622 | 3663
4625 | 3199
4807 | 875
4845 | 3648
5033 | 3681
5267 | 1685
5274 | 3242
5310 | 2425
5357 | 3867
5396 | 4096
5528 | 1772
5534 | 2128
5592 | 663
5636 | 134
5694 | 2263
5779 | 885
5798 | 3863
5825 | 1930
5853 | 2332
6002 | 113
6214 | 4177
6250 | 3182
